date_start,date_stop,campaign_id,campaign_name,campaign_status,campaign_objective,adset_id,adset_name,adset_status,optimization_goal,billing_event,promoted_object,ad_id,ad_name,ad_status,ad_effective_status,spend,impressions,reach,frequency,clicks,inline_link_clicks,ctr,cpc,cpm,landing_page_views,meta_leads,lead_action_types,view_content_add_meta_leads,cost_per_meta_lead,destination_url,destination_host,destination_path,destination_field,url_extract_status,utm_source,utm_medium,utm_campaign,utm_content,utm_term,nt_source,nt_medium,nt_keyword,fbclid,creative_url_tags,effective_object_story_id,story_fetch_status,story_fetch_error
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120240475481830036,260116_연뜰스토리_리커버리랩,ACTIVE,ACTIVE,1306758,436176,297125,1.467988,16256,15780,3.726936,80.386196,2995.942005,14557,0,,0,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122190570032574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120240476722510036,260116_무물스토리_리커버리랩,PAUSED,PAUSED,34,9,8,1.125,0,0,0,,3777.777778,0,0,,0,0,https://m.booking.naver.com/booking/13/bizes/1239200?theme=place&entry=pll&lang=ko&area=pll&utm_source=meta_recoverylab_questionstory_naverbooking&utm_medium=meta_recoverylab_questionstory_naverbooking&utm_campaign=meta_recoverylab_questionstory_naverbooking&utm_content=meta_recoverylab_questionstory_naverbooking,m.booking.naver.com,/booking/13/bizes/1239200,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_questionstory_naverbooking,meta_recoverylab_questionstory_naverbooking,meta_recoverylab_questionstory_naverbooking,meta_recoverylab_questionstory_naverbooking,,,,,,,110337454469232_1185599143659997,,
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120240961449780036,260128_리커버리랩카뉴영상,PAUSED,PAUSED,14,2,2,1,1,1,50,14,7000,1,0,,0,0,https://smartstore.naver.com/miribio/products/12741855071?nt_source=meta&nt_medium=meta&nt_detail=recoverylab&nt_keyword=cardnews,smartstore.naver.com,/miribio/products/12741855071,object_story_spec.video_data.call_to_action.value.link,ok,,,,,,meta,meta,cardnews,,,110337454469232_1194940222725889,,
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120243679492060036,260401_리커버리랩 이벤트1,PAUSED,PAUSED,4,1,1,1,1,0,100,4,4000,0,0,,0,0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244469567772954,,
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120243679688130036,260401_리커버리랩 이벤트2,PAUSED,PAUSED,4,4,4,1,0,0,0,,1000,0,0,,0,0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244471031106141,,
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120243736090550036,260116_연뜰스토리_리커버리랩 - 플레이스랜딩,ACTIVE,ACTIVE,190291,66119,60916,1.085413,2649,2568,4.006413,71.835032,2878.007834,2359,0,,0,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122200349192574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-03-17,2026-04-15,120240475481810036,26.01.16 리커버리랩 예약 캠페인,ACTIVE,OUTCOME_TRAFFIC,120240475481820036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,LANDING_PAGE_VIEWS,IMPRESSIONS,{},120243786444730036,260116_연뜰스토리_리커버리랩 자사몰 랜딩,PAUSED,PAUSED,63,23,23,1,0,0,0,,2739.130435,0,0,,0,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122200543370574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-03-17,2026-04-15,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904164040036,260116_연뜰스토리_리커버리랩 자사몰 랜딩,ACTIVE,ACTIVE,313025,9605,7301,1.315573,455,335,4.737116,687.967033,32589.796981,206,0,,203,0,,,,,needs_pages_read_engagement,,,,,,,,,,,457012704159444_122200543370574372,blocked,(#10) This endpoint requires the 'pages_read_engagement' permission or the 'Page Public Content Access' feature. Refer to https://developers.facebook.com/docs/apps/review/login-permissions#manage-pages and https://developers.facebook.com/docs/apps/review/feature#reference-PAGES_ACCESS for details.
2026-03-17,2026-04-15,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904165990036,260401_리커버리랩 이벤트1,ACTIVE,ACTIVE,29107,446,334,1.335329,52,53,11.659193,559.75,65262.331839,37,0,,33,0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244469567772954,,
2026-03-17,2026-04-15,120243904162820036,리드 캠페인 (소재복사 0406_2352),ACTIVE,OUTCOME_LEADS,120243904163210036,26.01.16 리커버리랩 예약 광고세트,ACTIVE,OFFSITE_CONVERSIONS,IMPRESSIONS,"{""custom_event_type"": ""LEAD"", ""pixel_id"": ""1068377347547682"", ""smart_pse_enabled"": false}",120243904166990036,260401_리커버리랩 이벤트2,ACTIVE,ACTIVE,217668,3778,2106,1.793922,276,268,7.305453,788.652174,57614.610905,219,0,,222,0,https://aibio.ai/shop_view?idx=25&utm_source=meta_recoverylab_allcareevent_aibioshop&utm_medium=meta_recoverylab_allcareevent_aibioshop&utm_campaign=meta_recoverylab_allcareevent_aibioshop&utm_content=meta_recoverylab_allcareevent_aibioshop,aibio.ai,/shop_view,asset_feed_spec.link_urls[0].website_url,ok,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,meta_recoverylab_allcareevent_aibioshop,,,,,,,110337454469232_1244471031106141,,
